The system as described above has its greatest application in an arrayed <e1>configuration</e1> of antenna <e2>elements</e2>.,"Component-Whole(e2,e1)"
The <e1>child</e1> was carefully wrapped and bound into the <e2>cradle</e2> by means of a cord.,Other
The <e1>author</e1> of a keygen uses a <e2>disassembler</e2> to look at the raw assembly code.,"Instrument-Agency(e2,e1)"
A misty <e1>ridge</e1> uprises from the <e2>surge</e2>.,Other
The <e1>student</e1> <e2>association</e2> is the voice of the undergraduate student population of the State University of New York at Buffalo.,"Member-Collection(e1,e2)"
This is the sprawling <e1>complex</e1> that is Peru's largest <e2>producer</e2> of silver.,Other
The current view is that the chronic <e1>inflammation</e1> in the distal part of the stomach caused by Helicobacter pylori <e2>infection</e2> results in an increased acid production from the non-infected upper corpus region of the stomach.,"Cause-Effect(e2,e1)"
<e1>People</e1> have been moving back into <e2>downtown</e2>.,"Entity-Destination(e1,e2)"
The <e1>lawsonite</e1> was contained in a <e2>platinum crucible</e2> and the counter-weight was a plastic crucible with metal pieces.,"Content-Container(e1,e2)"
The solute was placed inside a beaker and 5 mL of the <e1>solvent</e1> was pipetted into a 25 mL glass <e2>flask</e2> for each trial.,"Entity-Destination(e1,e2)"
The fifty <e1>essays</e1> collected in this <e2>volume</e2> testify to most of the prominent themes from Professor Quispel's scholarly career.,"Member-Collection(e1,e2)"
Their <e1>composer</e1> has sunk into <e2>oblivion</e2>.,Other
The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award.,"Message-Topic(e1,e2)"
The <e1>burst</e1> has been caused by water hammer <e2>pressure</e2>.,"Cause-Effect(e2,e1)"
Even commercial <e1>networks</e1> have moved into <e2>high-definition broadcast</e2>.,"Instrument-Agency(e2,e1)"
It was a friendly <e1>call</e1> to remind them about the <e2>bill</e2> and make sure they have a copy of the invoice.,"Message-Topic(e1,e2)"
"Texas-born <e1>virtuoso</e1> finds harmony, sophistication in Appalachian <e2>instrument</e2>.","Instrument-Agency(e2,e1)"
"The <e1>factory</e1>'s products have included flower pots, Finnish rooster-whistles, pans, <e2>trays</e2>, tea pots, ash trays and air moisturisers.","Product-Producer(e2,e1)"
The girl showed a photo of apple <e1>tree</e1> <e2>blossom</e2> on a fruit tree in the Central Valley.,"Component-Whole(e2,e1)"
"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a <e1>battalion</e1> of Panzer <e2>grenadiers</e2>.","Member-Collection(e2,e1)"
"Their <e1>knowledge</e1> of the power and rank symbols of the Continental empires was gained from the numerous Germanic <e2>recruits</e2> in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.","Entity-Origin(e1,e2)"
She soon had a <e1>stable</e1> of her own rescued <e2>hounds</e2>.,"Member-Collection(e2,e1)"
"The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.","Cause-Effect(e1,e2)"
His intellectually engaging books and <e1>essays</e1> remain pertinent to illuminating contemporary <e2>history</e2>.,Other
"Poor hygiene controls, reports of a <e1>brace</e1> of gamey <e2>grouse</e2> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.","Member-Collection(e2,e1)"
"This sweet <e1>dress</e1> is made with a <e2>blend</e2> of cotton and silk, and the crochet flower necklace is the perfect accessory.",Other
"<e1>Suicide</e1> is one of the leading causes of <e2>death</e2> among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.","Cause-Effect(e1,e2)"
"This <e1>article</e1> gives details on 2004 in <e2>music</e2> in the United Kingdom, including the official charts from that year.","Message-Topic(e1,e2)"
